timestamp,sport,game_id,game,side,market,bets_pct,money_pct,open_line,current_line,injury_news,key_number_note,dk_start_iso
2025-12-31T06:07:34.653370+00:00,nba,33371015,NY Knicks @ SA Spurs,SA Spurs -1.5,splits,58,27,,SA Spurs -1.5 @ -108,,,
2025-12-31T06:07:34.653370+00:00,nba,33371015,NY Knicks @ SA Spurs,NY Knicks +1.5,splits,42,73,,NY Knicks +1.5 @ -112,,,
2025-12-31T06:07:34.653370+00:00,nba,33371015,NY Knicks @ SA Spurs,Over 237.5,splits,74,90,,Over 237.5 @ -105,,,
2025-12-31T06:07:34.653370+00:00,nba,33371015,NY Knicks @ SA Spurs,Under 237.5,splits,26,10,,Under 237.5 @ -115,,,
2025-12-31T06:07:34.653370+00:00,nba,33371014,NO Pelicans @ CHI Bulls,CHI Bulls,splits,59,51,,CHI Bulls @ -105,,,
2025-12-31T06:07:34.653370+00:00,nba,33371014,NO Pelicans @ CHI Bulls,NO Pelicans,splits,41,49,,NO Pelicans @ -115,,,
2025-12-31T06:07:34.653370+00:00,nba,33371014,NO Pelicans @ CHI Bulls,NO Pelicans -1.5,splits,33,29,,NO Pelicans -1.5 @ -108,,,
2025-12-31T06:07:34.653370+00:00,nba,33371014,NO Pelicans @ CHI Bulls,CHI Bulls +1.5,splits,67,71,,CHI Bulls +1.5 @ -112,,,
2025-12-31T06:07:34.653370+00:00,nba,33371014,NO Pelicans @ CHI Bulls,Over 245.5,splits,53,76,,Over 245.5 @ -105,,,
2025-12-31T06:07:34.653370+00:00,nba,33371014,NO Pelicans @ CHI Bulls,Under 245.5,splits,47,24,,Under 245.5 @ -115,,,
2025-12-31T06:07:34.653370+00:00,nba,33372974,DEN Nuggets @ TOR Raptors,TOR Raptors,splits,65,35,,TOR Raptors @ -290,,,
2025-12-31T06:07:34.653370+00:00,nba,33372974,DEN Nuggets @ TOR Raptors,DEN Nuggets,splits,35,65,,DEN Nuggets @ +235,,,
2025-12-31T06:07:34.653370+00:00,nba,33372974,DEN Nuggets @ TOR Raptors,TOR Raptors -7.5,splits,52,71,,TOR Raptors -7.5 @ -110,,,
2025-12-31T06:07:34.653370+00:00,nba,33372974,DEN Nuggets @ TOR Raptors,DEN Nuggets +7.5,splits,48,29,,DEN Nuggets +7.5 @ -110,,,
2025-12-31T06:07:34.653370+00:00,nba,33372974,DEN Nuggets @ TOR Raptors,Over 224.5,splits,82,94,,Over 224.5 @ -110,,,
2025-12-31T06:07:34.653370+00:00,nba,33372974,DEN Nuggets @ TOR Raptors,Under 224.5,splits,18,6,,Under 224.5 @ -110,,,
