logged_at_utc,logic_version,sport,game_id,game,market,side,color
2026-01-01T00:44:41.989919+00:00,v0.1,ncaaf,33273274,Michigan @ Texas,TOTAL,Over 48.5,LIGHT_GREEN
2026-01-01T00:49:31.969029+00:00,v0.1,ncaaf,33273274,Michigan @ Texas,TOTAL,Over 48.5,LIGHT_GREEN
2026-01-01T00:52:49.658964+00:00,v0.1,ncaaf,33273274,Michigan @ Texas,TOTAL,Over 48.5,LIGHT_GREEN
2026-01-01T00:28:39.239265+00:00,v0.1,ncaab,33383539,Milwaukee @ Wright State,TOTAL,Over 149.5,LIGHT_GREEN
2026-01-01T00:38:23.065234+00:00,v0.1,ncaab,33383539,Milwaukee @ Wright State,TOTAL,Over 149.5,LIGHT_GREEN
2026-01-01T00:40:29.340794+00:00,v0.1,ncaab,33383539,Milwaukee @ Wright State,TOTAL,Over 149.5,LIGHT_GREEN
2026-01-01T00:44:41.998845+00:00,v0.1,ncaab,33383539,Milwaukee @ Wright State,TOTAL,Over 149.5,LIGHT_GREEN
2026-01-01T00:49:31.976907+00:00,v0.1,ncaab,33383539,Milwaukee @ Wright State,TOTAL,Over 149.5,LIGHT_GREEN
2026-01-01T00:52:49.667001+00:00,v0.1,ncaab,33383539,Milwaukee @ Wright State,TOTAL,Over 149.5,LIGHT_GREEN
2026-01-01T00:28:39.219146+00:00,v0.1,nba,33372972,MIN Timberwolves @ ATL Hawks,MONEYLINE,MIN Timberwolves,YELLOW
2026-01-01T00:38:23.045573+00:00,v0.1,nba,33372972,MIN Timberwolves @ ATL Hawks,MONEYLINE,MIN Timberwolves,YELLOW
2026-01-01T00:40:29.321325+00:00,v0.1,nba,33372972,MIN Timberwolves @ ATL Hawks,MONEYLINE,MIN Timberwolves,YELLOW
2026-01-01T00:44:41.976776+00:00,v0.1,nba,33372972,MIN Timberwolves @ ATL Hawks,MONEYLINE,MIN Timberwolves,YELLOW
2026-01-01T00:49:31.957269+00:00,v0.1,nba,33372972,MIN Timberwolves @ ATL Hawks,MONEYLINE,MIN Timberwolves,YELLOW
2026-01-01T00:52:49.647380+00:00,v0.1,nba,33372972,MIN Timberwolves @ ATL Hawks,MONEYLINE,MIN Timberwolves,YELLOW
2026-01-01T00:28:39.223240+00:00,v0.1,nhl,33378579,MIN Wild @ SJ Sharks,MONEYLINE,MIN Wild,YELLOW
2026-01-01T00:38:23.048732+00:00,v0.1,nhl,33378579,MIN Wild @ SJ Sharks,MONEYLINE,MIN Wild,YELLOW
2026-01-01T00:40:29.324477+00:00,v0.1,nhl,33378579,MIN Wild @ SJ Sharks,MONEYLINE,MIN Wild,YELLOW
2026-01-01T00:44:41.980601+00:00,v0.1,nhl,33378579,MIN Wild @ SJ Sharks,MONEYLINE,MIN Wild,YELLOW
2026-01-01T00:49:31.960512+00:00,v0.1,nhl,33378579,MIN Wild @ SJ Sharks,MONEYLINE,MIN Wild,YELLOW
2026-01-01T00:52:49.650606+00:00,v0.1,nhl,33378579,MIN Wild @ SJ Sharks,MONEYLINE,MIN Wild,YELLOW
2026-01-01T00:28:39.240793+00:00,v0.1,nhl,33382324,MTL Canadiens @ CAR Hurricanes,TOTAL,Over 6.5,LIGHT_GREEN
2026-01-01T00:38:23.066814+00:00,v0.1,nhl,33382324,MTL Canadiens @ CAR Hurricanes,TOTAL,Over 6.5,LIGHT_GREEN
2026-01-01T00:40:29.342307+00:00,v0.1,nhl,33382324,MTL Canadiens @ CAR Hurricanes,TOTAL,Over 6.5,LIGHT_GREEN
2026-01-01T00:44:42.000484+00:00,v0.1,nhl,33382324,MTL Canadiens @ CAR Hurricanes,TOTAL,Over 6.5,LIGHT_GREEN
2026-01-01T00:49:31.978568+00:00,v0.1,nhl,33382324,MTL Canadiens @ CAR Hurricanes,TOTAL,Over 6.5,LIGHT_GREEN
2026-01-01T00:52:49.668542+00:00,v0.1,nhl,33382324,MTL Canadiens @ CAR Hurricanes,TOTAL,Over 6.5,LIGHT_GREEN
2026-01-01T00:28:39.237022+00:00,v0.1,ncaaf,33273285,Navy @ Cincinnati,TOTAL,Over 54.5,LIGHT_GREEN
2026-01-01T00:38:23.062854+00:00,v0.1,ncaaf,33273285,Navy @ Cincinnati,TOTAL,Over 54.5,LIGHT_GREEN
2026-01-01T00:40:29.338553+00:00,v0.1,ncaaf,33273285,Navy @ Cincinnati,TOTAL,Over 54.5,LIGHT_GREEN
2026-01-01T00:44:41.996307+00:00,v0.1,ncaaf,33273285,Navy @ Cincinnati,TOTAL,Over 54.5,LIGHT_GREEN
2026-01-01T00:49:31.974661+00:00,v0.1,ncaaf,33273285,Navy @ Cincinnati,TOTAL,Over 54.5,LIGHT_GREEN
2026-01-01T00:52:49.664745+00:00,v0.1,ncaaf,33273285,Navy @ Cincinnati,TOTAL,Over 54.5,LIGHT_GREEN
2026-01-01T00:28:39.224082+00:00,v0.1,ncaab,33380255,New Orleans @ A&M-Corpus Christi,MONEYLINE,A&M-Corpus Christi,YELLOW
2026-01-01T00:28:39.233896+00:00,v0.1,ncaab,33380255,New Orleans @ A&M-Corpus Christi,TOTAL,Under 143.5,LIGHT_GREEN
2026-01-01T00:38:23.049637+00:00,v0.1,ncaab,33380255,New Orleans @ A&M-Corpus Christi,MONEYLINE,A&M-Corpus Christi,YELLOW
2026-01-01T00:38:23.059674+00:00,v0.1,ncaab,33380255,New Orleans @ A&M-Corpus Christi,TOTAL,Under 143.5,LIGHT_GREEN
2026-01-01T00:40:29.325324+00:00,v0.1,ncaab,33380255,New Orleans @ A&M-Corpus Christi,MONEYLINE,A&M-Corpus Christi,YELLOW
2026-01-01T00:40:29.335461+00:00,v0.1,ncaab,33380255,New Orleans @ A&M-Corpus Christi,TOTAL,Under 143.5,LIGHT_GREEN
2026-01-01T00:44:41.981533+00:00,v0.1,ncaab,33380255,New Orleans @ A&M-Corpus Christi,MONEYLINE,A&M-Corpus Christi,YELLOW
2026-01-01T00:44:41.992553+00:00,v0.1,ncaab,33380255,New Orleans @ A&M-Corpus Christi,TOTAL,Under 143.5,LIGHT_GREEN
2026-01-01T00:49:31.961365+00:00,v0.1,ncaab,33380255,New Orleans @ A&M-Corpus Christi,MONEYLINE,A&M-Corpus Christi,YELLOW
2026-01-01T00:49:31.971501+00:00,v0.1,ncaab,33380255,New Orleans @ A&M-Corpus Christi,TOTAL,Under 143.5,LIGHT_GREEN
2026-01-01T00:52:49.651470+00:00,v0.1,ncaab,33380255,New Orleans @ A&M-Corpus Christi,MONEYLINE,A&M-Corpus Christi,YELLOW
2026-01-01T00:52:49.661550+00:00,v0.1,ncaab,33380255,New Orleans @ A&M-Corpus Christi,TOTAL,Under 143.5,LIGHT_GREEN
2026-01-01T00:28:39.244776+00:00,v0.1,nhl,33378581,NJ Devils @ CBJ Blue Jackets,SPREAD,NJ Devils +1.5,RED
2026-01-01T00:38:23.070896+00:00,v0.1,nhl,33378581,NJ Devils @ CBJ Blue Jackets,SPREAD,NJ Devils +1.5,RED
2026-01-01T00:40:29.346386+00:00,v0.1,nhl,33378581,NJ Devils @ CBJ Blue Jackets,SPREAD,NJ Devils +1.5,RED
2026-01-01T00:44:42.004836+00:00,v0.1,nhl,33378581,NJ Devils @ CBJ Blue Jackets,SPREAD,NJ Devils +1.5,RED
2026-01-01T00:49:31.982735+00:00,v0.1,nhl,33378581,NJ Devils @ CBJ Blue Jackets,SPREAD,NJ Devils +1.5,RED
2026-01-01T00:52:49.672618+00:00,v0.1,nhl,33378581,NJ Devils @ CBJ Blue Jackets,SPREAD,NJ Devils +1.5,RED
2026-01-01T00:28:39.225082+00:00,v0.1,nfl,32225464,NO Saints @ ATL Falcons,MONEYLINE,NO Saints,LIGHT_GREEN
2026-01-01T00:28:39.225363+00:00,v0.1,nfl,32225464,NO Saints @ ATL Falcons,MONEYLINE,ATL Falcons,YELLOW
2026-01-01T00:38:23.050697+00:00,v0.1,nfl,32225464,NO Saints @ ATL Falcons,MONEYLINE,NO Saints,LIGHT_GREEN
2026-01-01T00:38:23.051008+00:00,v0.1,nfl,32225464,NO Saints @ ATL Falcons,MONEYLINE,ATL Falcons,YELLOW
2026-01-01T00:40:29.326325+00:00,v0.1,nfl,32225464,NO Saints @ ATL Falcons,MONEYLINE,NO Saints,LIGHT_GREEN
2026-01-01T00:40:29.326606+00:00,v0.1,nfl,32225464,NO Saints @ ATL Falcons,MONEYLINE,ATL Falcons,YELLOW
2026-01-01T00:44:41.982827+00:00,v0.1,nfl,32225464,NO Saints @ ATL Falcons,MONEYLINE,NO Saints,LIGHT_GREEN
2026-01-01T00:44:41.983229+00:00,v0.1,nfl,32225464,NO Saints @ ATL Falcons,MONEYLINE,ATL Falcons,YELLOW
2026-01-01T00:49:31.962409+00:00,v0.1,nfl,32225464,NO Saints @ ATL Falcons,MONEYLINE,NO Saints,LIGHT_GREEN
2026-01-01T00:49:31.962692+00:00,v0.1,nfl,32225464,NO Saints @ ATL Falcons,MONEYLINE,ATL Falcons,YELLOW
2026-01-01T00:52:49.652493+00:00,v0.1,nfl,32225464,NO Saints @ ATL Falcons,MONEYLINE,NO Saints,LIGHT_GREEN
2026-01-01T00:52:49.652779+00:00,v0.1,nfl,32225464,NO Saints @ ATL Falcons,MONEYLINE,ATL Falcons,YELLOW
2026-01-01T00:28:39.234316+00:00,v0.1,ncaab,33380240,North Texas @ Memphis,TOTAL,Under 135.5,LIGHT_GREEN
2026-01-01T00:38:23.060080+00:00,v0.1,ncaab,33380240,North Texas @ Memphis,TOTAL,Under 135.5,LIGHT_GREEN
2026-01-01T00:40:29.335868+00:00,v0.1,ncaab,33380240,North Texas @ Memphis,TOTAL,Under 135.5,LIGHT_GREEN
2026-01-01T00:44:41.992999+00:00,v0.1,ncaab,33380240,North Texas @ Memphis,TOTAL,Under 135.5,LIGHT_GREEN
2026-01-01T00:49:31.971921+00:00,v0.1,ncaab,33380240,North Texas @ Memphis,TOTAL,Under 135.5,LIGHT_GREEN
2026-01-01T00:52:49.662005+00:00,v0.1,ncaab,33380240,North Texas @ Memphis,TOTAL,Under 135.5,LIGHT_GREEN
2026-01-01T00:28:39.221578+00:00,v0.1,nhl,33378575,NSH Predators @ VGK Golden Knights,MONEYLINE,VGK Golden Knights,RED
2026-01-01T00:28:39.222701+00:00,v0.1,nhl,33378575,NSH Predators @ VGK Golden Knights,MONEYLINE,NSH Predators,LIGHT_GREEN
2026-01-01T00:38:23.047884+00:00,v0.1,nhl,33378575,NSH Predators @ VGK Golden Knights,MONEYLINE,VGK Golden Knights,RED
2026-01-01T00:38:23.048185+00:00,v0.1,nhl,33378575,NSH Predators @ VGK Golden Knights,MONEYLINE,NSH Predators,LIGHT_GREEN
2026-01-01T00:40:29.323656+00:00,v0.1,nhl,33378575,NSH Predators @ VGK Golden Knights,MONEYLINE,VGK Golden Knights,RED
2026-01-01T00:40:29.323946+00:00,v0.1,nhl,33378575,NSH Predators @ VGK Golden Knights,MONEYLINE,NSH Predators,LIGHT_GREEN
2026-01-01T00:44:41.979300+00:00,v0.1,nhl,33378575,NSH Predators @ VGK Golden Knights,MONEYLINE,VGK Golden Knights,RED
2026-01-01T00:44:41.979947+00:00,v0.1,nhl,33378575,NSH Predators @ VGK Golden Knights,MONEYLINE,NSH Predators,LIGHT_GREEN
2026-01-01T00:49:31.959674+00:00,v0.1,nhl,33378575,NSH Predators @ VGK Golden Knights,MONEYLINE,VGK Golden Knights,RED
2026-01-01T00:49:31.959970+00:00,v0.1,nhl,33378575,NSH Predators @ VGK Golden Knights,MONEYLINE,NSH Predators,LIGHT_GREEN
2026-01-01T00:52:49.649760+00:00,v0.1,nhl,33378575,NSH Predators @ VGK Golden Knights,MONEYLINE,VGK Golden Knights,RED
2026-01-01T00:52:49.650057+00:00,v0.1,nhl,33378575,NSH Predators @ VGK Golden Knights,MONEYLINE,NSH Predators,LIGHT_GREEN
2026-01-01T00:28:39.235255+00:00,v0.1,nfl,32225487,NY Jets @ BUF Bills,TOTAL,Under 38.5,LIGHT_GREEN
2026-01-01T00:38:23.061030+00:00,v0.1,nfl,32225487,NY Jets @ BUF Bills,TOTAL,Under 38.5,LIGHT_GREEN
2026-01-01T00:40:29.336803+00:00,v0.1,nfl,32225487,NY Jets @ BUF Bills,TOTAL,Under 38.5,LIGHT_GREEN
2026-01-01T00:44:41.994020+00:00,v0.1,nfl,32225487,NY Jets @ BUF Bills,TOTAL,Under 38.5,LIGHT_GREEN
2026-01-01T00:49:31.972870+00:00,v0.1,nfl,32225487,NY Jets @ BUF Bills,TOTAL,Under 38.5,LIGHT_GREEN
2026-01-01T00:52:49.662977+00:00,v0.1,nfl,32225487,NY Jets @ BUF Bills,TOTAL,Under 38.5,LIGHT_GREEN
2026-01-01T00:28:39.232783+00:00,v0.1,nba,33371015,NY Knicks @ SA Spurs,TOTAL,Over 234.5,YELLOW
2026-01-01T00:38:23.058600+00:00,v0.1,nba,33371015,NY Knicks @ SA Spurs,TOTAL,Over 234.5,YELLOW
2026-01-01T00:40:29.334395+00:00,v0.1,nba,33371015,NY Knicks @ SA Spurs,TOTAL,Over 234.5,YELLOW
2026-01-01T00:44:41.991406+00:00,v0.1,nba,33371015,NY Knicks @ SA Spurs,TOTAL,Over 234.5,YELLOW
2026-01-01T00:49:31.970432+00:00,v0.1,nba,33371015,NY Knicks @ SA Spurs,TOTAL,Over 234.5,YELLOW
2026-01-01T00:52:49.660418+00:00,v0.1,nba,33371015,NY Knicks @ SA Spurs,TOTAL,Over 234.5,YELLOW
2026-01-01T00:28:39.243529+00:00,v0.1,nhl,33378574,NY Rangers @ WAS Capitals,SPREAD,WAS Capitals -1.5,LIGHT_GREEN
